Partido,Localidad,link Indec,Velocidad (Mbps),Provincia,Accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.0,1.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.5,2.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.75,19.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,3.0,85.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,3.5,145.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,6.0,76.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,8.0,299.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,10.0,288.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,15.0,415.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,20.0,1796.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,25.0,144.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,30.0,1501.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,40.0,27.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,50.0,647.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,80.0,9.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,100.0,693.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,300.0,95.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,500.0,3.0
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,10.0,59.0
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,20.0,5.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020,0.5,1.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020,3.0,181.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020,10.0,10.0
BUENOS AIRES,25 de Mayo,Ernestina,6854030,5.0,75.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,2.0,106.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,3.0,3.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,4.0,56.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,5.0,7.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,6.0,3.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,8.0,4.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,10.0,1.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,65.0,1.0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,3.0,5.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,2.0,174.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,3.0,32.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,4.0,9.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,5.0,8.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,6.0,914.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,10.0,2.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,15.0,322.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,25.0,29.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,50.0,20.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070,6.0,2.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070,10.0,177.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070,15.0,3.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070,50.0,25.0
BUENOS AIRES,25 de Mayo,San Enrique,6854080,20.0,11.0
BUENOS AIRES,25 de Mayo,Valdés,6854090,10.0,245.0
BUENOS AIRES,25 de Mayo,Valdés,6854090,20.0,18.0
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,3.0,11.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,0.75,9.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,3.0,198.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,3.5,114.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,5.0,154.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,6.0,4824.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,7.0,235.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,8.0,98.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,10.0,2669.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,15.0,1239.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,20.0,1144.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,30.0,362.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,50.0,631.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,100.0,1843.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,300.0,1068.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,500.0,33.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,1000.0,14.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,3.0,510.0
BUENOS AIRES,9 de Julio,Dudignac,6588040,1.0,8.0
BUENOS AIRES,9 de Julio,Dudignac,6588040,3.0,36.0
BUENOS AIRES,9 de Julio,Dudignac,6588040,4.0,247.0
BUENOS AIRES,9 de Julio,Dudignac,6588040,6.0,46.0
BUENOS AIRES,9 de Julio,Dudignac,6588040,10.0,52.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,1.0,1.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,2.0,193.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,6.0,1.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,10.0,2.0
BUENOS AIRES,9 de Julio,Morea,6588080,3.0,130.0
BUENOS AIRES,9 de Julio,Patricios,6588110,3.0,50.0
BUENOS AIRES,9 de Julio,Patricios,6588110,6.0,16.0
BUENOS AIRES,9 de Julio,Patricios,6588110,10.0,44.0
BUENOS AIRES,9 de Julio,Patricios,6588110,15.0,21.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,3.0,42.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,6.0,6.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,10.0,37.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,15.0,29.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,20.0,32.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,30.0,11.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,50.0,3.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,3.0,763.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,3.5,20.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,7.0,103.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,8.0,36.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,15.0,1231.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,30.0,1.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,31.0,266.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,50.0,820.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,61.0,31.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,100.0,2.0
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,3.0,208.0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,3.0,60.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0.0,10.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0.5,2.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070,5.0,386.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10.0,6.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070,20.0,2.0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,20.0,1252.0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,35.0,26.0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,50.0,31.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,0.75,3.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,3.5,147.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,8.0,447.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,10.0,122.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,12.0,1.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,15.0,1422.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,30.0,44.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,50.0,1.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,4.0,632.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,7.0,7.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,8.0,28.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,10.0,45.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,15.0,5.0
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,4.0,46.0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,3.0,12.0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,4.0,2.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,0.75,2.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,2.0,1.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,3.5,40.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,5.0,1.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,8.0,116.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,15.0,302.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,100.0,1.0
BUENOS AIRES,Alberti,Coronel Seguí,6021020,15.0,5.0
BUENOS AIRES,Alberti,Mechita,6021030,3.0,275.0
BUENOS AIRES,Alberti,Mechita,6021030,5.0,10.0
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070,15.0,24.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.0,1.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.256,1.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.5,10.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.512,1.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.75,34.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,1.0,21.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,2.0,8.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,3.5,63.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,4.0,7.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,5.0,5.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,6.0,12.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,8.0,37.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,10.0,170.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,15.0,112.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,20.0,1.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,25.0,3.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,30.0,11550.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,50.0,509.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,60.0,37.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,75.0,9.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,100.0,2727.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,150.0,944.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,200.0,1.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,300.0,3966.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,500.0,504.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,1000.0,365.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0.0,52.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0.256,1.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0.5,9.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0.512,1.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0.75,23.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,1.0,15.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,2.0,78.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,3.0,14.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,3.5,34.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,4.0,115.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,5.0,14.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,6.0,82.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,8.0,30.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,10.0,393.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,15.0,60.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,20.0,2.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,25.0,2.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,30.0,11384.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,50.0,382.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,60.0,186.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,75.0,15.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,100.0,2084.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,150.0,3756.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,200.0,5.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,300.0,7154.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,500.0,959.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,1000.0,1017.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,0.0,1.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,0.75,2.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,1.0,6.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,3.0,2.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,3.5,3.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,5.0,3.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,6.0,5.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,10.0,149.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,30.0,4108.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,50.0,117.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,60.0,64.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,75.0,5.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,100.0,696.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,150.0,1809.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,300.0,3538.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,500.0,497.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,1000.0,503.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,5.0,2.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,10.0,128.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,15.0,42.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,30.0,1.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,50.0,12.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,60.0,91.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,75.0,2.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,100.0,36.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,150.0,1776.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,300.0,2535.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,500.0,370.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,1000.0,439.0
BUENOS AIRES,Almirante Brown,Glew,6028010,0.0,1.0
BUENOS AIRES,Almirante Brown,Glew,6028010,0.5,5.0
BUENOS AIRES,Almirante Brown,Glew,6028010,0.75,7.0
BUENOS AIRES,Almirante Brown,Glew,6028010,1.0,4.0
BUENOS AIRES,Almirante Brown,Glew,6028010,2.0,15.0
BUENOS AIRES,Almirante Brown,Glew,6028010,3.0,5.0
BUENOS AIRES,Almirante Brown,Glew,6028010,3.5,27.0
BUENOS AIRES,Almirante Brown,Glew,6028010,4.0,29.0
BUENOS AIRES,Almirante Brown,Glew,6028010,5.0,8.0
BUENOS AIRES,Almirante Brown,Glew,6028010,6.0,12.0
BUENOS AIRES,Almirante Brown,Glew,6028010,8.0,16.0
BUENOS AIRES,Almirante Brown,Glew,6028010,10.0,138.0
BUENOS AIRES,Almirante Brown,Glew,6028010,15.0,8.0
BUENOS AIRES,Almirante Brown,Glew,6028010,25.0,27.0
BUENOS AIRES,Almirante Brown,Glew,6028010,30.0,11735.0
BUENOS AIRES,Almirante Brown,Glew,6028010,50.0,134.0
BUENOS AIRES,Almirante Brown,Glew,6028010,60.0,81.0
BUENOS AIRES,Almirante Brown,Glew,6028010,75.0,2.0
BUENOS AIRES,Almirante Brown,Glew,6028010,100.0,676.0
BUENOS AIRES,Almirante Brown,Glew,6028010,150.0,2725.0
BUENOS AIRES,Almirante Brown,Glew,6028010,300.0,3834.0
BUENOS AIRES,Almirante Brown,Glew,6028010,500.0,499.0
BUENOS AIRES,Almirante Brown,Glew,6028010,1000.0,699.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,1.0,1.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,3.5,2.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,5.0,2.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,6.0,1.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,8.0,3.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,10.0,156.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,25.0,2.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,30.0,1381.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,50.0,166.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,60.0,58.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,75.0,6.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,100.0,1250.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,150.0,1310.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,300.0,3416.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,500.0,429.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,1000.0,447.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,0.0,1.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,0.5,1.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,0.75,3.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,3.0,3.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,3.5,21.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,5.0,8.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,6.0,1.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,8.0,4.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,10.0,231.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,15.0,5.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,30.0,7428.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,50.0,198.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,60.0,88.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,75.0,7.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,100.0,1226.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,150.0,2212.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,300.0,3887.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,500.0,569.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,1000.0,512.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,0.0,1.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1.0,3.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,5.0,3.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,6.0,1.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,10.0,47.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,20.0,2.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,30.0,4.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,50.0,69.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,60.0,37.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,75.0,3.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,100.0,424.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,150.0,1066.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,300.0,2191.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,500.0,331.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1000.0,331.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,3.5,2.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,5.0,1.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,10.0,96.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,30.0,4093.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,50.0,18.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,60.0,47.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,75.0,4.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,100.0,124.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,150.0,1024.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,300.0,1716.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,500.0,282.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,1000.0,234.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,0.0,1.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,0.5,3.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,0.75,10.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,1.0,28.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,3.0,97.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,3.5,18.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,4.0,339.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,5.0,10.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,6.0,52.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,8.0,3.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,10.0,240.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,15.0,9.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,30.0,9967.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,50.0,189.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,60.0,102.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,75.0,10.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,100.0,1110.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,150.0,2420.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,300.0,5185.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,500.0,695.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,1000.0,675.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,0.0,1.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,0.5,1.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,0.75,4.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1.0,9.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,3.0,40.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,3.5,21.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,5.0,2.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,6.0,88.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,10.0,39.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,30.0,3236.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,50.0,34.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,60.0,46.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,100.0,148.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,150.0,1141.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,300.0,2174.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,500.0,310.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1000.0,336.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,0.5,3.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,0.75,1.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,3.5,2.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,5.0,5.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,10.0,165.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,30.0,4.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,50.0,61.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,60.0,131.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,75.0,7.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,100.0,391.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,150.0,2702.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,300.0,3942.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,500.0,615.0
BUENOS AIRES,Almirante Brown,San Jose,6028010,1000.0,582.0
BUENOS AIRES,AMBA,Otros,Sin Datos,0.5,13.0
BUENOS AIRES,AMBA,Otros,Sin Datos,1.0,0.0
BUENOS AIRES,AMBA,Otros,Sin Datos,15.0,0.0
BUENOS AIRES,Arrecifes,Arrecifes,6077010,0.0,159.0
BUENOS AIRES,Arrecifes,Arrecifes,6077010,0.5,1.0
BUENOS AIRES,Arrecifes,Arrecifes,6077010,0.75,6.0
BUENOS AIRES,Arrecifes,Arrecifes,6077010,1.0,137.0
